X, Y, Z, alpha, gamma, beta, activity,test
-0.2763671875,0.261962890625,-1.41552734375,23.895263671875,-15.045166015625,1.007080078125, 1, 2 
-0.473388671875,0.27587890625,-1.448974609375,-26.580810546875,-34.423828125,12.420654296875, 1, 2 
-0.464111328125,0.37744140625,-1.38525390625,-32.135009765625,-40.496826171875,20.599365234375, 1, 2 
-0.266845703125,0.441162109375,-1.354736328125,-49.591064453125,-37.567138671875,9.124755859375, 1, 2 
-0.451416015625,0.47509765625,-1.03759765625,-32.379150390625,-21.97265625,7.293701171875, 1, 2 
-0.4248046875,0.496337890625,-0.829345703125,-0.79345703125,-1.800537109375,13.3056640625, 1, 2 
-0.2060546875,0.583740234375,-0.62841796875,54.13818359375,36.285400390625,-3.082275390625, 1, 2 
-0.15576171875,0.553466796875,-1.02587890625,56.396484375,42.3583984375,-24.078369140625, 1, 2 
-0.160400390625,0.37353515625,-1.0908203125,20.904541015625,33.5693359375,-22.15576171875, 1, 2 
-0.1474609375,0.2451171875,-0.817138671875,20.050048828125,42.3583984375,-14.83154296875, 1, 2 
-0.192138671875,0.17138671875,-0.742431640625,33.50830078125,45.501708984375,-0.6103515625, 1, 2 
-0.2001953125,0.297607421875,-0.83642578125,43.914794921875,51.025390625,7.598876953125, 1, 2 
-0.13134765625,0.247314453125,-0.833251953125,24.658203125,55.84716796875,11.8408203125, 1, 2 
-0.05615234375,0.18310546875,-0.691650390625,22.94921875,59.02099609375,15.228271484375, 1, 2 
-0.01025390625,0.1845703125,-0.71142578125,17.669677734375,58.59375,19.073486328125, 1, 2 
0.052001953125,0.2236328125,-0.73486328125,-3.72314453125,47.05810546875,13.824462890625, 1, 2 
0.054931640625,0.2099609375,-0.653076171875,-17.120361328125,26.0009765625,10.07080078125, 1, 2 
0.026123046875,0.13818359375,-0.6064453125,-19.439697265625,15.472412109375,5.9814453125, 1, 2 
0.0078125,0.131591796875,-0.637451171875,-15.380859375,12.054443359375,3.387451171875, 1, 2 
0.018310546875,0.130126953125,-0.6796875,-5.06591796875,9.979248046875,2.532958984375, 1, 2 
0.181884765625,0.1357421875,-0.762451171875,10.43701171875,6.439208984375,-2.3193359375, 1, 2 
0.10400390625,0.113525390625,-0.74755859375,35.614013671875,5.401611328125,-18.6767578125, 1, 2 
0.033935546875,-0.002685546875,-0.900146484375,57.464599609375,1.46484375,-23.0712890625, 1, 2 
-0.04541015625,-0.060302734375,-1.057861328125,60.302734375,-3.997802734375,-13.214111328125, 1, 2 
-0.102783203125,0.057373046875,-1.126220703125,38.51318359375,-2.349853515625,4.486083984375, 1, 2 
-0.067626953125,0.144775390625,-1.205322265625,-5.0048828125,3.448486328125,13.092041015625, 1, 2 
0.009033203125,0.1708984375,-1.31884765625,-64.056396484375,19.439697265625,2.655029296875, 1, 2 
0.057373046875,-0.00537109375,-1.19287109375,-83.465576171875,34.698486328125,-11.65771484375, 1, 2 
0.018798828125,-0.1708984375,-1.25390625,-36.1328125,31.402587890625,-6.439208984375, 1, 2 
-0.11376953125,0.28271484375,-1.587646484375,-6.28662109375,33.905029296875,-0.79345703125, 1, 2 
0.12353515625,0.259521484375,-1.260009765625,16.998291015625,33.02001953125,-9.979248046875, 1, 2 
0.349365234375,0.364990234375,-1.258056640625,41.8701171875,20.599365234375,-23.0712890625, 1, 2 
0.232177734375,0.256591796875,-1.0146484375,46.478271484375,-1.46484375,-33.14208984375, 1, 2 
0.144287109375,0.2646484375,-0.783447265625,68.817138671875,-16.29638671875,-25.787353515625, 1, 2 
0.091064453125,0.293701171875,-0.771484375,72.021484375,-19.59228515625,-26.4892578125, 1, 2 
0.0205078125,0.3408203125,-0.995361328125,41.6259765625,-19.439697265625,-26.55029296875, 1, 2 
-0.093017578125,0.23974609375,-1.03466796875,-25.482177734375,-27.618408203125,-20.233154296875, 1, 2 
-0.0546875,0.037841796875,-1.09033203125,-83.49609375,-56.640625,11.688232421875, 1, 2 
-0.20703125,0.211181640625,-0.83447265625,-64.3310546875,-60.1806640625,39.00146484375, 1, 2 
-0.22021484375,0.298583984375,-0.790283203125,-38.87939453125,-48.919677734375,44.00634765625, 1, 2 
-0.103271484375,0.187255859375,-0.77392578125,-34.027099609375,-37.567138671875,41.778564453125, 1, 2 
-0.07373046875,0.1552734375,-0.677734375,-23.406982421875,-38.4521484375,35.2783203125, 1, 2 
-0.034423828125,0.178466796875,-0.583251953125,-12.5732421875,-40.313720703125,26.79443359375, 1, 2 
-0.02392578125,0.171630859375,-0.545166015625,-11.23046875,-40.46630859375,14.739990234375, 1, 2 
-0.06787109375,0.181640625,-0.541015625,-15.2587890625,-41.3818359375,10.772705078125, 1, 2 
-0.17822265625,0.178955078125,-0.605712890625,-17.88330078125,-41.32080078125,15.380859375, 1, 2 
-0.18701171875,0.161376953125,-0.6171875,-18.341064453125,-30.242919921875,20.6298828125, 1, 2 
-0.177978515625,0.046142578125,-0.695556640625,-5.2490234375,-12.3291015625,19.8974609375, 1, 2 
-0.26318359375,-0.000244140625,-0.8701171875,10.19287109375,3.265380859375,20.20263671875, 1, 2 
-0.2119140625,0.09716796875,-0.994873046875,24.35302734375,7.720947265625,21.209716796875, 1, 2 
-0.103515625,0.1650390625,-1.016357421875,33.0810546875,2.960205078125,11.077880859375, 1, 2 
-0.139892578125,0.17724609375,-1.060791015625,41.656494140625,-3.021240234375,-4.302978515625, 1, 2 
-0.302734375,0.109130859375,-1.390869140625,19.744873046875,-17.88330078125,-1.617431640625, 1, 2 
-0.40478515625,0.014892578125,-1.343505859375,-12.51220703125,-35.980224609375,14.617919921875, 1, 2 
-0.360595703125,-0.0517578125,-1.11474609375,9.918212890625,-36.529541015625,19.012451171875, 1, 2 
-0.25390625,0.2548828125,-1.36669921875,23.01025390625,-31.341552734375,5.67626953125, 1, 2 
-0.478759765625,0.37646484375,-1.219970703125,6.988525390625,-29.876708984375,0.06103515625, 1, 2 
-0.55224609375,0.354736328125,-1.01708984375,0.640869140625,-16.937255859375,17.242431640625, 1, 2 
-0.305908203125,0.30810546875,-0.822998046875,9.552001953125,2.9296875,22.125244140625, 1, 2 
-0.197509765625,0.341552734375,-0.788818359375,43.39599609375,24.71923828125,12.8173828125, 1, 2 
-0.097412109375,0.377197265625,-1.043212890625,32.04345703125,27.862548828125,9.3994140625, 1, 2 
-0.040283203125,0.293701171875,-1.086669921875,-16.571044921875,17.120361328125,10.986328125, 1, 2 
-0.045654296875,0.2197265625,-0.914306640625,-35.736083984375,12.725830078125,16.265869140625, 1, 2 
-0.110107421875,0.22900390625,-0.788330078125,-8.148193359375,24.7802734375,13.946533203125, 1, 2 
-0.2158203125,0.28173828125,-0.9755859375,-5.859375,45.10498046875,7.9345703125, 1, 2 
-0.189453125,0.212158203125,-0.91943359375,-2.74658203125,52.886962890625,5.828857421875, 1, 2 
-0.0771484375,0.12255859375,-0.80615234375,6.195068359375,45.83740234375,5.2490234375, 1, 2 
-0.0283203125,0.0908203125,-0.722900390625,21.087646484375,34.637451171875,2.105712890625, 1, 2 
-0.0771484375,0.047119140625,-0.66015625,20.20263671875,33.599853515625,7.415771484375, 1, 2 
-0.01318359375,0.116455078125,-0.62109375,15.899658203125,33.0810546875,9.033203125, 1, 2 
0.0576171875,0.173583984375,-0.631591796875,5.0048828125,29.96826171875,2.86865234375, 1, 2 
0.034423828125,0.1572265625,-0.652099609375,-1.220703125,21.881103515625,-0.732421875, 1, 2 
0.01513671875,0.0986328125,-0.63623046875,0.0,13.3056640625,-0.946044921875, 1, 2 
0.01123046875,0.088623046875,-0.65625,14.923095703125,4.364013671875,-1.983642578125, 1, 2 
0.0048828125,-0.001220703125,-0.725830078125,25.2685546875,-5.18798828125,-1.556396484375, 1, 2 
-0.0087890625,-0.051513671875,-0.8642578125,25.238037109375,-16.082763671875,3.082275390625, 1, 2 
