X, Y, Z, alpha, gamma, beta, activity,test
-0.0478515625,0.118408203125,-0.9560546875,-2.105712890625,-0.823974609375,2.685546875, 5, 2 
-0.0419921875,0.118408203125,-0.956298828125,-2.349853515625,-1.617431640625,2.532958984375, 5, 2 
-0.037109375,0.11767578125,-0.961181640625,-2.593994140625,-1.708984375,1.434326171875, 5, 2 
-0.04345703125,0.11328125,-0.96240234375,-2.532958984375,0.30517578125,1.251220703125, 5, 2 
-0.047119140625,0.108642578125,-0.965087890625,-1.617431640625,1.068115234375,0.48828125, 5, 2 
-0.045166015625,0.114013671875,-0.964599609375,-0.732421875,1.617431640625,-0.1220703125, 5, 2 
-0.04150390625,0.114990234375,-0.956787109375,0.0,0.91552734375,-0.67138671875, 5, 2 
-0.0439453125,0.110595703125,-0.94775390625,-0.091552734375,0.335693359375,-0.9765625, 5, 2 
-0.045654296875,0.118408203125,-0.9521484375,-0.3662109375,0.6103515625,-0.946044921875, 5, 2 
-0.046630859375,0.122314453125,-0.957275390625,-0.8544921875,0.6103515625,-0.9765625, 5, 2 
-0.046875,0.1259765625,-0.957275390625,-0.8544921875,1.190185546875,-1.03759765625, 5, 2 
-0.046875,0.123046875,-0.95654296875,-1.007080078125,0.732421875,-0.518798828125, 5, 2 
-0.04248046875,0.122802734375,-0.95068359375,-1.434326171875,0.3662109375,-0.30517578125, 5, 2 
-0.047607421875,0.124267578125,-0.95068359375,-1.708984375,0.54931640625,-0.18310546875, 5, 2 
-0.050537109375,0.126708984375,-0.950439453125,-2.410888671875,0.54931640625,-0.213623046875, 5, 2 
-0.052734375,0.118408203125,-0.955322265625,-2.777099609375,0.8544921875,-0.457763671875, 5, 2 
-0.05078125,0.1162109375,-0.956787109375,-1.861572265625,1.495361328125,-1.03759765625, 5, 2 
-0.04638671875,0.116943359375,-0.95654296875,-1.220703125,1.068115234375,-1.64794921875, 5, 2 
-0.048095703125,0.1171875,-0.954345703125,-0.91552734375,1.52587890625,-2.105712890625, 5, 2 
-0.054443359375,0.12158203125,-0.951171875,-0.06103515625,1.007080078125,-2.227783203125, 5, 2 
-0.05126953125,0.12353515625,-0.954345703125,0.244140625,1.068115234375,-2.50244140625, 5, 2 
-0.05078125,0.119140625,-0.954833984375,0.0,1.739501953125,-2.99072265625, 5, 2 
