X, Y, Z, alpha, gamma, beta, activity,test
-0.019287109375,0.04052734375,-0.964111328125,-1.52587890625,1.15966796875,-1.46484375, 1, 2 
-0.01904296875,0.04052734375,-0.958984375,-1.068115234375,1.220703125,-1.129150390625, 1, 2 
-0.0205078125,0.041748046875,-0.954833984375,-1.15966796875,1.190185546875,-1.0986328125, 1, 2 
-0.015380859375,0.04150390625,-0.9599609375,-1.40380859375,1.129150390625,-1.190185546875, 1, 2 
-0.0185546875,0.04052734375,-0.954833984375,-1.15966796875,1.0986328125,-1.068115234375, 1, 2 
-0.01806640625,0.043212890625,-0.96044921875,-1.28173828125,1.28173828125,-1.28173828125, 1, 2 
-0.018310546875,0.044677734375,-0.962158203125,-1.312255859375,1.251220703125,-1.52587890625, 1, 2 
-0.016357421875,0.03955078125,-0.9609375,-1.3427734375,1.129150390625,-1.068115234375, 1, 2 
-0.02099609375,0.04150390625,-0.962158203125,-1.312255859375,1.03759765625,-1.068115234375, 1, 2 
-0.01611328125,0.0419921875,-0.958251953125,-1.495361328125,1.251220703125,-1.0986328125, 1, 2 
-0.017822265625,0.040771484375,-0.961669921875,-1.068115234375,1.434326171875,-1.068115234375, 1, 2 
-0.018310546875,0.041015625,-0.96044921875,-1.190185546875,1.3427734375,-1.220703125, 1, 2 
-0.019775390625,0.03857421875,-0.957763671875,-1.129150390625,1.46484375,-1.007080078125, 1, 2 
-0.017333984375,0.0390625,-0.960205078125,-1.373291015625,1.373291015625,-1.28173828125, 1, 2 
-0.02001953125,0.035888671875,-0.95703125,-1.40380859375,1.312255859375,-1.068115234375, 1, 2 
-0.016845703125,0.044921875,-0.95947265625,-1.129150390625,1.220703125,-1.251220703125, 1, 2 
-0.018798828125,0.040283203125,-0.95654296875,-1.190185546875,1.220703125,-1.129150390625, 1, 2 
-0.0166015625,0.044921875,-0.9619140625,-1.3427734375,1.068115234375,-1.251220703125, 1, 2 
-0.018310546875,0.037353515625,-0.95654296875,-1.129150390625,1.28173828125,-1.15966796875, 1, 2 
-0.018798828125,0.0400390625,-0.963134765625,-1.3427734375,1.312255859375,-1.190185546875, 1, 2 
-0.017822265625,0.041259765625,-0.96044921875,-1.434326171875,1.220703125,-1.068115234375, 1, 2 
-0.019287109375,0.03955078125,-0.95947265625,-1.129150390625,1.15966796875,-0.9765625, 1, 2 
-0.01953125,0.039306640625,-0.951171875,-1.251220703125,1.220703125,-1.15966796875, 1, 2 
-0.0185546875,0.04150390625,-0.95947265625,-1.40380859375,1.190185546875,-1.007080078125, 1, 2 
-0.021240234375,0.036865234375,-0.957275390625,-1.220703125,1.03759765625,-1.129150390625, 1, 2 
-0.016845703125,0.037841796875,-0.9580078125,-1.190185546875,1.64794921875,-1.373291015625, 1, 2 
-0.01708984375,0.03955078125,-0.95654296875,-1.15966796875,1.373291015625,-1.129150390625, 1, 2 
-0.012939453125,0.04296875,-0.949951171875,-1.708984375,1.3427734375,-1.373291015625, 1, 2 
-0.01611328125,0.04248046875,-0.95556640625,-1.373291015625,1.220703125,-1.190185546875, 1, 2 
-0.0166015625,0.044189453125,-0.959716796875,-1.312255859375,1.007080078125,-1.3427734375, 1, 2 
-0.015380859375,0.042724609375,-0.95751953125,-1.373291015625,1.3427734375,-1.251220703125, 1, 2 
-0.015869140625,0.041015625,-0.95458984375,-1.190185546875,1.312255859375,-1.190185546875, 1, 2 
-0.016845703125,0.041259765625,-0.961181640625,-1.52587890625,1.28173828125,-1.312255859375, 1, 2 
-0.014892578125,0.040771484375,-0.9580078125,-1.220703125,1.190185546875,-1.251220703125, 1, 2 
-0.01953125,0.044677734375,-0.95751953125,-1.3427734375,1.190185546875,-1.220703125, 1, 2 
-0.01513671875,0.042724609375,-0.953857421875,-1.220703125,1.251220703125,-1.068115234375, 1, 2 
-0.022705078125,0.04150390625,-0.957275390625,-1.0986328125,1.190185546875,-1.251220703125, 1, 2 
-0.014404296875,0.043212890625,-0.956298828125,-1.3427734375,1.312255859375,-1.434326171875, 1, 2 
-0.019287109375,0.0439453125,-0.961181640625,-1.312255859375,1.434326171875,-1.312255859375, 1, 2 
-0.01953125,0.040771484375,-0.957275390625,-1.129150390625,1.434326171875,-1.40380859375, 1, 2 
-0.01611328125,0.04248046875,-0.957763671875,-1.373291015625,1.190185546875,-1.220703125, 1, 2 
-0.0166015625,0.04150390625,-0.95166015625,-1.0986328125,1.190185546875,-1.190185546875, 1, 2 
